Date,Description,Amount
11/08/2022,MOBILE PAYMENT - THANK YOU,-54.82
11/02/2022,CHEWY.COM           DANIA BEACH,-15.00
11/01/2022,AplPay CHEWY.COM    (800)672-4399       FL,85.08
10/20/2022,YOUR CASH REWARD/REFUND IS,-15.26
10/06/2022,MOBILE PAYMENT - THANK YOU,-152.29
09/21/2022,7-ELEVEN 36621 00073AUSTIN              TX,8.00
09/21/2022,NI CAFE 4197        AUSTIN              TX,4.33
09/21/2022,NI CAFE 4197        AUSTIN              TX,10.54
09/20/2022,NI CAFE 4197        AUSTIN              TX,10.06
09/18/2022,H-E-B               AUSTIN              TX,116.86
09/15/2022,YOUR CASH REWARD/REFUND IS,-88.30
09/13/2022,MOBILE PAYMENT - THANK YOU,-286.57
09/12/2022,H-E-B               AUSTIN              TX,90.80
09/10/2022,YARD HOUSE 836083667AUSTIN              TX,26.12
09/05/2022,VERIZON WIRELESS    AUSTIN              TX,187.08
09/04/2022,H-E-B               AUSTIN              TX,73.37
09/01/2022,MOBILE PAYMENT - THANK YOU,-470.12
08/26/2022,H-E-B               AUSTIN              TX,175.22
08/26/2022,TARGET        024091AUSTIN              TX,277.89
08/24/2022,AplPay TST* CABO BOBAUSTIN              TX,14.76
08/24/2022,AplPay UBER EATS    SAN FRANCISCO       CA,2.25
08/19/2022,MOBILE PAYMENT - THANK YOU,-92.12
08/15/2022,H-E-B               AUSTIN              TX,92.12
08/13/2022,MOBILE PAYMENT - THANK YOU,-172.59
08/08/2022,H-E-B               AUSTIN              TX,172.59
08/02/2022,MOBILE PAYMENT - THANK YOU,-398.09
07/31/2022,H-E-B               AUSTIN              TX,97.98
07/24/2022,H-E-B               AUSTIN              TX,100.97
07/18/2022,H-E-B               AUSTIN              TX,95.59
07/10/2022,H-E-B               AUSTIN              TX,103.55
07/01/2022,MOBILE PAYMENT - THANK YOU,-240.51
06/24/2022,H-E-B               AUSTIN              TX,118.85
06/19/2022,H-E-B               AUSTIN              TX,121.66
06/12/2022,MOBILE PAYMENT - THANK YOU,-72.96
06/03/2022,H-E-B               AUSTIN              TX,72.96
06/02/2022,MOBILE PAYMENT - THANK YOU,-137.15
05/27/2022,H-E-B               AUSTIN              TX,137.15
05/20/2022,MOBILE PAYMENT - THANK YOU,-91.94
05/18/2022,TRADER JOE'S #453 QPAUSTIN              TX,91.94
05/12/2022,MOBILE PAYMENT - THANK YOU,-47.23
05/10/2022,TRADER JOE'S #453 QPAUSTIN              TX,93.11
05/01/2022,H-E-B #404 000000000AUSTIN              TX,117.82
04/24/2022,H-E-B               AUSTIN              TX,86.30
04/20/2022,K1XL:0004 250.00 Credit,-250.00
04/20/2022,MOBILE PAYMENT - THANK YOU,-99.23
04/17/2022,WHOLE FOODS MARKET  AUSTIN              TX,99.23
04/16/2022,MOBILE PAYMENT - THANK YOU,-50.68
04/11/2022,H-E-B               AUSTIN              TX,50.68
04/05/2022,MOBILE PAYMENT - THANK YOU,-129.34
04/04/2022,AplPay INSTACART    SAN FRANCISCO       CA,109.32
04/02/2022,12681 OLD FM 2243 12LEANDER             TX,20.02
03/29/2022,MOBILE PAYMENT - THANK YOU,-94.05
03/26/2022,AplPay INSTACART    SAN FRANCISCO       CA,94.05
03/19/2022,MOBILE PAYMENT - THANK YOU,-96.15
03/15/2022,H-E-B               AUSTIN              TX,96.15
03/03/2022,MOBILE PAYMENT - THANK YOU,-233.12
02/28/2022,ESCARPMENT EXXON 094AUSTIN              TX,3.24
02/28/2022,H-E-B               AUSTIN              TX,20.13
02/28/2022,H-E-B               AUSTIN              TX,138.19
02/28/2022,JIMMY JOHNS - 2270 0AUSTIN              TX,9.41
02/28/2022,MOBILE PAYMENT - THANK YOU,-435.18
02/28/2022,WALGREENS           AUSTIN              TX,13.78
02/27/2022,7-ELEVEN 36799 00073NEW YORK            NY,17.04
02/27/2022,BENS PIZZA 021770021NEW YORK            NY,11.90
02/27/2022,FIREHOUSE SUBS B22 FNEWARK              NJ,3.95
02/27/2022,RESTAURANT SELF-SERVSan Francisco       CA,6.00
02/27/2022,STANDARD HIGH LINE FNEW YORK            NY,9.80
02/27/2022,STANDARD HIGH LINE FNEW YORK            NY,11.80
02/27/2022,TST* MIGHTY QUINNS BNEW YORK            NY,22.82
