Transaction Date,Post Date,Description,Category,Type,Amount,Memo
12/29/2022,12/30/2022,P. TERRYS STAND #6,Food & Drink,Sale,-10.61,
12/29/2022,12/30/2022,Payment Thank You-Mobile,,Payment,73.18,
12/30/2022,12/30/2022,DD DOORDASH FIREHOUSE,Food & Drink,Sale,-24.99,
12/29/2022,12/30/2022,TACODELI WESTLAKE 005,Food & Drink,Sale,-20.24,
12/29/2022,12/30/2022,COA PARKS &amp; REC,Travel,Sale,-14.00,
12/28/2022,12/29/2022,VETSOURCE,Personal,Sale,-25.78,
12/28/2022,12/28/2022,Payment Thank You-Mobile,,Payment,64.78,
12/27/2022,12/28/2022,PANDA EXPRESS #3518,Food & Drink,Sale,-37.40,
12/27/2022,12/28/2022,GLF*CRYSTALFALLSGC,Entertainment,Sale,-10.00,
12/23/2022,12/25/2022,RAISING CANE'S #115,Food & Drink,Sale,-16.94,
12/23/2022,12/25/2022,TARGET        00023424,Groceries,Sale,-34.87,
12/22/2022,12/25/2022,SHELL OIL 12508189003,Gas,Sale,-7.57,
12/22/2022,12/23/2022,7-ELEVEN 36609,Gas,Sale,-5.40,
12/23/2022,12/23/2022,Payment Thank You-Mobile,,Payment,415.83,
12/21/2022,12/22/2022,TST* DIRDIE BIRDIE,Food & Drink,Sale,-166.07,
12/16/2022,12/19/2022,TAQUERIA SUPER JAVI,Food & Drink,Sale,-5.50,
12/18/2022,12/19/2022,H-E-B #029,Groceries,Sale,-86.55,
12/17/2022,12/19/2022,7-ELEVEN 36563,Gas,Sale,-43.97,
12/17/2022,12/19/2022,7-ELEVEN 36563,Gas,Sale,-45.18,
12/16/2022,12/19/2022,EXXONMOBIL    48365084,Gas,Sale,-12.15,
12/18/2022,12/18/2022,Payment Thank You-Mobile,,Payment,416.97,
12/16/2022,12/18/2022,TEXACO 0305406,Gas,Sale,-2.69,
12/16/2022,12/18/2022,FIREHOUSE SUBS 0431 QSR,Food & Drink,Sale,-18.28,
12/17/2022,12/18/2022,TST* DEEP EDDY CABARET,Food & Drink,Sale,-10.26,
12/15/2022,12/18/2022,7-ELEVEN 36585,Gas,Sale,-25.18,
12/14/2022,12/15/2022,MACYS   .COM,Shopping,Sale,-47.62,
12/14/2022,12/15/2022,SP OLIVE LYNN,Shopping,Sale,-69.00,
12/14/2022,12/14/2022,Amazon.com*G70EV2T13,Shopping,Sale,-74.92,
12/13/2022,12/14/2022,SP IVY&amp;TAYLOR,Shopping,Sale,-44.96,
12/13/2022,12/14/2022,FRG*NFLSHOP.COM,Shopping,Sale,-45.44,
12/13/2022,12/13/2022,Payment Thank You-Mobile,,Payment,120.57,
