Transaction Date,Post Date,Description,Category,Type,Amount,Memo
01/18/2024,01/18/2024,Payment Thank You-Mobile,,Payment,159.52,
01/17/2024,01/18/2024,H-E-B  #202,Groceries,Sale,-25.96,
01/17/2024,01/17/2024,Payment Thank You-Mobile,,Payment,130.99,
01/16/2024,01/17/2024,CHEVRON 0381691,Gas,Sale,-18.32,
01/16/2024,01/17/2024,H-E-B  #202,Groceries,Sale,-100.02,
01/16/2024,01/17/2024,CHEVRON 0381691,Gas,Sale,-24.85,
01/16/2024,01/17/2024,DD DOORDASH SUBWAY,Food & Drink,Sale,-16.33,
01/16/2024,01/16/2024,Payment Thank You-Mobile,,Payment,377.98,
01/15/2024,01/16/2024,FGTTWOSTEPINN,Entertainment,Sale,-130.99,
01/14/2024,01/15/2024,CAVENDERS BOOT 24,Shopping,Sale,-86.59,
01/14/2024,01/15/2024,TARGET        00024091,Shopping,Sale,-21.65,
01/14/2024,01/15/2024,MCDONALD'S F1116,Food & Drink,Sale,-21.28,
01/12/2024,01/14/2024,7-ELEVEN 36585,Gas,Sale,-20.05,
01/11/2024,01/12/2024,DD DOORDASH SUBWAY,Food & Drink,Sale,-16.08,
01/11/2024,01/11/2024,Payment Thank You-Mobile,,Payment,469.35,
01/09/2024,01/11/2024,SUSHI JUNAI 2,Food & Drink,Sale,-92.00,
01/10/2024,01/11/2024,H-E-B  #202,Groceries,Sale,-120.33,
01/10/2024,01/10/2024,Payment Thank You-Mobile,,Payment,41.76,
01/09/2024,01/10/2024,SQ *COMPANION TATTOO,Personal,Sale,-300.00,
01/09/2024,01/10/2024,CHEVRON 0381691,Gas,Sale,-19.55,
01/09/2024,01/10/2024,DD DOORDASH SUBWAY,Food & Drink,Sale,-15.87,
01/10/2024,01/10/2024,DD *DOORDASH FIREHOUSE,Food & Drink,Sale,-21.27,
01/09/2024,01/10/2024,CHEWY.COM,Shopping,Sale,-112.66,
01/09/2024,01/09/2024,Payment Thank You-Mobile,,Payment,7.12,
01/06/2024,01/09/2024,7-ELEVEN 36592,Gas,Sale,-28.94,
01/07/2024,01/09/2024,JERSEY MIKES 15048,Food & Drink,Sale,-12.82,
01/08/2024,01/08/2024,Payment Thank You-Mobile,,Payment,32.80,
01/07/2024,01/08/2024,CHEVRON 0381691,Gas,Sale,-7.12,
01/06/2024,01/07/2024,TXTAG 888 468 9824,Travel,Sale,-10.00,
01/05/2024,01/07/2024,TXTAG 888 468 9824,Travel,Sale,-10.00,
01/04/2024,01/05/2024,CHEVRON 0381691,Gas,Sale,-12.80,
01/04/2024,01/04/2024,Payment Thank You-Mobile,,Payment,721.44,
01/02/2024,01/03/2024,CHEVRON 0381691,Gas,Sale,-6.21,
01/02/2024,01/03/2024,H-E-B  #202,Groceries,Sale,-162.78,
01/01/2024,01/03/2024,7-ELEVEN 36565,Gas,Sale,-22.70,
01/02/2024,01/03/2024,ISM  INC. DBA AIRUP,Food & Drink,Sale,-2.10,
01/02/2024,01/03/2024,CHEVRON 0381691,Gas,Sale,-87.40,
12/31/2023,01/02/2024,JERSEY MIKES 15048,Food & Drink,Sale,-11.10,
12/31/2023,01/01/2024,DD DOORDASH TACOBELL,Food & Drink,Sale,-22.42,
12/31/2023,01/01/2024,DD DOORDASH SUBWAY,Food & Drink,Sale,-22.53,
12/31/2023,01/01/2024,H-E-B  #224,Groceries,Sale,-15.13,
12/29/2023,12/31/2023,DD DOORDASH SUBWAY,Food & Drink,Sale,-15.96,
12/28/2023,12/31/2023,RIVIERA EXXON,Gas,Sale,-15.57,
12/29/2023,12/31/2023,H-E-B  #202,Groceries,Sale,-48.31,
12/28/2023,12/29/2023,VETSOURCE,Personal,Sale,-25.78,
12/28/2023,12/29/2023,LA FITNESS,Health & Wellness,Sale,-43.29,
12/28/2023,12/28/2023,Payment Thank You-Mobile,,Payment,350.00,
12/26/2023,12/28/2023,SHELL OIL 12508189003,Gas,Sale,-68.12,
12/26/2023,12/28/2023,SHELL OIL 12508189003,Gas,Sale,-15.78,
12/27/2023,12/28/2023,TXTAG 888 468 9824,Travel,Sale,-10.00,
12/24/2023,12/25/2023,DD DOORDASH FIREHOUSE,Food & Drink,Sale,-23.98,
12/24/2023,12/25/2023,TARGET        00017855,Shopping,Sale,-121.35,
12/24/2023,12/25/2023,TXTAG 888 468 9824,Travel,Sale,-10.00,
12/23/2023,12/25/2023,GINOS VINO ON THE GREE,Food & Drink,Sale,-18.80,
12/22/2023,12/24/2023,GLF*GolfNowReservation,Entertainment,Sale,-2.99,
12/22/2023,12/24/2023,DD DOORDASH TACOBELL,Food & Drink,Sale,-21.86,
12/22/2023,12/24/2023,CHEVRON 0381691,Gas,Sale,-17.50,
12/23/2023,12/24/2023,DD DOORDASH FIREHOUSE,Food & Drink,Sale,-46.83,
12/23/2023,12/24/2023,DD *DOORDASH 7-ELEVEN,Food & Drink,Sale,-26.64,
12/23/2023,12/24/2023,GLF*CRYSTALFALLSGC,Entertainment,Sale,-55.00,
12/20/2023,12/22/2023,TST* RIVERSIDE GOLF COURS,Food & Drink,Sale,-7.06,
12/21/2023,12/22/2023,AMZN Mktp US*NT6XD67X3,Shopping,Sale,-80.00,
12/20/2023,12/22/2023,RIVERSIDE GOLF COURSE,Entertainment,Sale,-34.25,
12/21/2023,12/21/2023,Payment Thank You-Mobile,,Payment,771.02,
12/20/2023,12/21/2023,TXTAG 888 468 9824,Travel,Sale,-10.00,
12/19/2023,12/20/2023,MCDONALD'S F33054,Food & Drink,Sale,-12.85,
12/19/2023,12/20/2023,CHEVRON 0381691,Gas,Sale,-15.13,
12/19/2023,12/20/2023,DD DOORDASH SUBWAY,Food & Drink,Sale,-15.96,
12/17/2023,12/19/2023,7-ELEVEN 36592,Gas,Sale,-26.36,
12/18/2023,12/19/2023,H-E-B  #202,Groceries,Sale,-84.49,
12/18/2023,12/19/2023,DD DOORDASH MIGHTYFIN,Food & Drink,Sale,-25.12,
12/17/2023,12/19/2023,FIREHOUSE SUBS 0431 ECOMM,Food & Drink,Sale,-17.85,
12/17/2023,12/18/2023,TXTAG 888 468 9824,Travel,Sale,-10.00,
12/16/2023,12/17/2023,CHEVRON 0200170,Gas,Sale,-15.77,
12/15/2023,12/17/2023,SP PALM BEACH AUTOGRAP,Shopping,Sale,-238.15,
12/15/2023,12/17/2023,BOUDRO'S RESTAURANT,Food & Drink,Sale,-141.25,
12/16/2023,12/17/2023,CHEVRON 0200170,Gas,Sale,-85.10,
12/14/2023,12/15/2023,GLF*ShadowglenGolf,Entertainment,Sale,-19.47,
12/14/2023,12/15/2023,GLF*SHADOWGLENGOLF,Entertainment,Sale,-17.00,
12/14/2023,12/15/2023,PLAYITAGAINSP #10105,Shopping,Sale,-8.49,
12/12/2023,12/14/2023,SHELL OIL 57543321004,Gas,Sale,-23.87,
12/13/2023,12/13/2023,Payment Thank You-Mobile,,Payment,328.19,
12/12/2023,12/13/2023,PAR*HAT CREEK BURGER WEST,Food & Drink,Sale,-14.16,
12/11/2023,12/12/2023,H-E-B  #202,Groceries,Sale,-92.38,
12/10/2023,12/12/2023,DOMINO'S 6607,Food & Drink,Sale,-25.04,
12/10/2023,12/12/2023,BLACKHAWK GOLF CLUB,Entertainment,Sale,-91.60,
12/11/2023,12/11/2023,Payment Thank You-Mobile,,Payment,775.62,
12/10/2023,12/11/2023,TST* LATCHKEY,Food & Drink,Sale,-28.00,
12/10/2023,12/11/2023,TXTAG 888 468 9824,Travel,Sale,-10.00,
