Transaction Date,Post Date,Description,Category,Type,Amount,Memo
02/01/2024,02/01/2024,Payment Thank You-Mobile,,Payment,294.07,
01/31/2024,01/31/2024,Payment Thank You-Mobile,,Payment,219.81,
01/29/2024,01/31/2024,SCHLOTZSKY'S 1103,Food & Drink,Sale,-15.79,
01/30/2024,01/31/2024,CHEVRON 0381691,Gas,Sale,-29.17,
01/29/2024,01/31/2024,TOYOTA OF CEDAR PARK,Automotive,Sale,-249.11,
01/30/2024,01/30/2024,Payment Thank You-Mobile,,Payment,139.77,
01/29/2024,01/30/2024,DD DOORDASH SUBWAY,Food & Drink,Sale,-32.13,
01/29/2024,01/30/2024,CHEVRON 0381691,Gas,Sale,-3.56,
01/29/2024,01/30/2024,H-E-B #031,Groceries,Sale,-172.23,
01/28/2024,01/30/2024,SHELL OIL 57543321004,Gas,Sale,-11.89,
01/28/2024,01/29/2024,LA FITNESS,Health & Wellness,Sale,-43.29,
01/28/2024,01/29/2024,TXTAG 888 468 9824,Travel,Sale,-10.00,
01/28/2024,01/29/2024,TST* THE ARISTOCRAT LOUNG,Food & Drink,Sale,-22.00,
01/28/2024,01/28/2024,Payment Thank You-Mobile,,Payment,25.78,
01/25/2024,01/28/2024,SHELL OIL 57542085402,Gas,Sale,-16.21,
01/27/2024,01/28/2024,DD DOORDASH P.TERRYSB,Food & Drink,Sale,-26.86,
01/27/2024,01/28/2024,DD DOORDASH SUBWAY,Food & Drink,Sale,-21.41,
01/25/2024,01/26/2024,Payment Thank You-Mobile,,Payment,209.45,
01/25/2024,01/26/2024,VETSOURCE,Personal,Sale,-25.78,
01/23/2024,01/24/2024,DD DOORDASH SUBWAY,Food & Drink,Sale,-16.34,
01/23/2024,01/23/2024,Payment Thank You-Mobile,,Payment,96.56,
01/22/2024,01/23/2024,DD DOORDASH TORCHYSTA,Food & Drink,Sale,-27.47,
01/22/2024,01/23/2024,H-E-B  #202,Groceries,Sale,-96.52,
01/22/2024,01/23/2024,CHEVRON 0381691,Gas,Sale,-39.61,
01/22/2024,01/23/2024,CHEVRON 0381691,Gas,Sale,-9.77,
01/21/2024,01/23/2024,7-ELEVEN 36592,Gas,Sale,-19.74,
01/22/2024,01/22/2024,Payment Thank You-Mobile,,Payment,63.21,
01/21/2024,01/22/2024,EXXON 7-ELEVEN 36592,Gas,Sale,-10.28,
01/21/2024,01/22/2024,THE LUCKY DUCK,Food & Drink,Sale,-18.16,
01/20/2024,01/22/2024,HILTON CANNON AND BELLE,Food & Drink,Sale,-20.40,
01/20/2024,01/22/2024,DEEP EDDY VODKA,Food & Drink,Sale,-25.25,
01/20/2024,01/22/2024,COUSINS MAINE LOBSTER AUS,Food & Drink,Sale,-22.47,
01/19/2024,01/21/2024,GRIMALDI'S PIZZA 30310,Food & Drink,Sale,-63.21,
01/20/2024,01/21/2024,Payment Thank You-Mobile,,Payment,25.96,
01/18/2024,01/18/2024,Payment Thank You-Mobile,,Payment,159.52,
01/17/2024,01/18/2024,H-E-B  #202,Groceries,Sale,-25.96,
01/17/2024,01/17/2024,Payment Thank You-Mobile,,Payment,130.99,
01/16/2024,01/17/2024,CHEVRON 0381691,Gas,Sale,-18.32,
