Trans. Date,Post Date,Description,Amount,Category
01/29/2022,01/29/2022,"BUFORDS AUSTIN TX",7.49,"Restaurants"
01/30/2022,01/30/2022,"JIMMY JOHNS - 2270 AUSTIN TX",9.08,"Restaurants"
02/01/2022,02/01/2022,"CKO*PATREON* MEMBERSHIP 833-972-8766 CAAPPLE PAY ENDING IN 1327CKO*PATREON* MEMBERSHIP",10.81,"Merchandise"
02/04/2022,02/04/2022,"INTERNET PAYMENT - THANK YOU",-57.61,"Payments and Credits"
02/09/2022,02/09/2022,"JERSEY MIKES 15053 AUSTIN TX",11.18,"Restaurants"
02/10/2022,02/10/2022,"JIMMY JOHNS - 1150 AUSTIN TX",10.26,"Restaurants"
02/11/2022,02/11/2022,"ESCARPMENT EXXON AUSTIN TX",3.24,"Gasoline"
02/11/2022,02/11/2022,"JERSEY MIKES 15010 AUSTIN TX",10.82,"Restaurants"
02/12/2022,02/12/2022,"CHEBA HUT - AUSTIN AUSTIN TX",14.51,"Restaurants"
02/12/2022,02/12/2022,"JIMMY JOHNS - 832 AUSTIN TX",9.19,"Restaurants"
02/13/2022,02/13/2022,"INTERNET PAYMENT - THANK YOU",-11.18,"Payments and Credits"
02/14/2022,02/14/2022,"INTERNET PAYMENT - THANK YOU",-48.02,"Payments and Credits"
02/15/2022,02/15/2022,"SHELL57545449100 AUSTIN TX",8.58,"Gasoline"
02/15/2022,02/15/2022,"SHELL57545449100 AUSTIN TX",52.24,"Gasoline"
02/20/2022,02/20/2022,"INTERNET PAYMENT - THANK YOU",-60.82,"Payments and Credits"
02/21/2022,02/21/2022,"AUTOMATIC STATEMENT CREDIT",-6.73,"Awards and Rebate Credits"
02/22/2022,02/22/2022,"EXXONMOBIL BEE CAVES TX",53.75,"Gasoline"
02/22/2022,02/22/2022,"JERSEY MIKES 15010 AUSTIN TX",10.23,"Restaurants"
02/22/2022,02/22/2022,"P. TERRYS STAND #6 AUSTIN TX02201R",5.85,"Restaurants"
02/25/2022,02/25/2022,"MOMA ADMISSION TICKETS NEW YORK NY",25.00,"Services"
02/28/2022,02/28/2022,"INTERNET PAYMENT - THANK YOU",-88.10,"Payments and Credits"
02/28/2022,02/28/2022,"NYCOX PMS NEW YORK NY",677.21,"Travel/ Entertainment"
03/03/2022,03/03/2022,"INTERNET PAYMENT - THANK YOU",-677.21,"Payments and Credits"
03/03/2022,03/03/2022,"NYCOX PMS 2129676699 NY",5.44,"Travel/ Entertainment"
03/03/2022,03/03/2022,"P TERRYS BURGER STAND 17 PFLUGERVILLE TX",8.88,"Restaurants"
03/04/2022,03/04/2022,"ESCARPMENT EXXON AUSTIN TX",9.19,"Gasoline"
03/05/2022,03/05/2022,"ANYTHING'S BAKED POTATO AUSTIN TX",16.18,"Restaurants"
03/05/2022,03/05/2022,"BUFORDS AUSTIN TX",8.08,"Restaurants"
03/05/2022,03/05/2022,"BUFORDS AUSTIN TX",8.39,"Restaurants"
03/05/2022,03/05/2022,"CHEBA HUT - AUSTIN AUSTIN TX",13.51,"Restaurants"
03/05/2022,03/05/2022,"SQ *STONY'S PIZZA CART AUSTIN TX0002305843015273013457",5.41,"Restaurants"
03/05/2022,03/05/2022,"SQ *STONY'S PIZZA CART AUSTIN TX0002305843015272992731",5.41,"Restaurants"
03/06/2022,03/06/2022,"7-ELEVEN 16996 AUSTIN TX",49.57,"Gasoline"
03/06/2022,03/06/2022,"BACK LOT AUSTIN TX",31.00,"Restaurants"
03/06/2022,03/06/2022,"JIMMY JOHNS - 2270 AUSTIN TX",8.85,"Restaurants"
03/06/2022,03/06/2022,"P. TERRYS STAND #3 AUSTIN TX00687R",8.98,"Restaurants"
03/07/2022,03/07/2022,"ESCARPMENT EXXON AUSTIN TX",20.56,"Gasoline"
03/07/2022,03/07/2022,"JIMMY JOHNS - 2270 AUSTIN TX",8.85,"Restaurants"
03/07/2022,03/07/2022,"PANDA EXPRESS 1651 AUSTIN TX",14.78,"Restaurants"
03/08/2022,03/08/2022,"JIMMY JOHNS - 2270 AUSTIN TX",8.85,"Restaurants"
03/09/2022,03/09/2022,"FIREHOUSE SUBS 0362 QSR AUSTIN TX",14.00,"Restaurants"
03/09/2022,03/09/2022,"TACO BELL #033691 LEANDER TX",11.23,"Restaurants"
03/11/2022,03/11/2022,"LAYLAS NASHVILLE TN",39.11,"Restaurants"
03/11/2022,03/11/2022,"LAYLAS NASHVILLE TN",41.38,"Restaurants"
03/13/2022,03/13/2022,"SHELL12508189003 LEANDER TX",70.82,"Gasoline"
