Transaction Date,Check Number,Description,Debit Amount,Credit Amount
02/02/2024,,ASF DBA Insperi PAYROLL    024031011378171,0,526.54
02/02/2024,,ASF DBA Insperi PAYROLL    024031011378140,0,2211.15
01/31/2024,,01/30 H-E-B  #218,9.10,0
01/31/2024,,01/30 H-E-B  #218,16.46,0
01/30/2024,,01/29 UBER   *EATS,12.17,0
01/29/2024,,VENMO,96.00,0
01/29/2024,,01/28 UBER   *EATS,41.99,0
01/27/2024,,01/26 APPLE.COM/BILL,0.99,0
01/27/2024,,01/26 H-E-B  #218,18.68,0
01/27/2024,,01/26 H-E-B  #218,22.68,0
01/26/2024,,Health Plan,259.00,0
01/26/2024,,01/26 CASH APP*SARAH,4.00,0
01/26/2024,,01/25 POSHMARK,116.85,0
01/25/2024,,01/24 UBER   *EATS,33.99,0
01/25/2024,,01/24 POSHMARK,47.62,0
01/24/2024,,ONLINE XFR DB,200.00,0
01/24/2024,,01/23 TEXASGASSERVICE,40.00,0
01/22/2024,,01/20 STARBUCKS STORE,6.12,0
01/22/2024,,01/21 UBER   *EATS,12.91,0
01/22/2024,,01/21 UBER   *EATS,12.97,0
01/22/2024,,01/20 UBER   *TRIP,19.97,0
01/22/2024,,01/20 UBER   *TRIP,20.55,0
01/22/2024,,01/20 DEEP EDDY VODKA,25.25,0
01/22/2024,,01/20 DEEP EDDY VODKA,25.25,0
01/20/2024,,01/19 UBER   *EATS,22.97,0
01/19/2024,,MOBILE PAYMENT,433.60,0
01/19/2024,,MOBILE XFR DB,1000.00,0
01/19/2024,,01/17 APPLE.COM/BILL,6.48,0
01/19/2024,,01/18 UBER   *EATS,11.93,0
01/19/2024,,01/18 LEMONADE I* LEM,18.01,0
01/19/2024,,ASF DBA Insperi PAYROLL    024017001878759,0,2211.15
01/18/2024,,01/17 UBER   *EATS,30.91,0
01/18/2024,,01/17 SOUTHWES,0,11.20
01/17/2024,,01/17 NETFLIX COM,24.89,0
01/16/2024,,01/15 APPLE.COM/BILL,5.40,0
01/16/2024,,01/14 UBER   EATS,8.76,0
01/16/2024,,01/14 TJMAXX #0266,12.99,0
01/16/2024,,01/15 TXTAG 888 468 9,15.82,0
01/16/2024,,01/15 H-E-B  #218,57.66,0
01/16/2024,,01/14 TRADER JOE S #4,62.21,0
01/16/2024,,VENMO            CASHOUT    024016007203325,0,25.00
01/12/2024,,01/12 UBER   *EATS,4.96,0
01/12/2024,,01/12 UBER   *EATS,0,4.96
01/09/2024,,City of Austin T,79.40,0
01/09/2024,,01/09 ACTIV N FIT,30.31,0
01/08/2024,,DISCOVER,1000.00,0
01/08/2024,,01/06 H-E-B  #218,20.89,0
01/05/2024,,ASF DBA Insperi PAYROLL    024003009905983,0,2025.72
01/04/2024,,01/03 RMA TOLL,8.69,0
01/04/2024,,01/02 STARBUCKS STORE,10.39,0
01/04/2024,,01/03 H-E-B  #218,17.08,0
01/04/2024,,01/02 UBER   EATS,22.62,0
01/04/2024,,01/02 RPS*SULLIVAN RD,1649.03,0
01/03/2024,,01/02 APPLE.COM/BILL,6.48,0
01/02/2024,,12/31 TACO CABANA 201,6.70,0
01/02/2024,,01/01 SONIC DRIVE IN,10.79,0
01/02/2024,,12/31 H-E-B  #218,16.26,0
01/02/2024,,12/30 DOMINO'S 6613,20.53,0
01/02/2024,,12/31 H-E-B  #218,31.43,0
01/02/2024,,01/01 SALVATION ARMY,34.00,0
01/02/2024,,MOBILE XFR CR,0,1600.00
