Transaction Date,Check Number,Description,Debit Amount,Credit Amount
01/19/2024,,MOBILE PAYMENT,433.60,0
01/19/2024,,MOBILE XFR DB,1000.00,0
01/19/2024,,01/17 APPLE.COM/BILL,6.48,0
01/19/2024,,01/18 UBER   *EATS,11.93,0
01/19/2024,,01/18 LEMONADE I* LEM,18.01,0
01/19/2024,,ASF DBA Insperi PAYROLL    024017001878759,0,2211.15
01/18/2024,,01/17 UBER   *EATS,30.91,0
01/18/2024,,01/17 SOUTHWES,0,11.20
01/17/2024,,01/17 NETFLIX COM,24.89,0
01/16/2024,,01/15 APPLE.COM/BILL,5.40,0
01/16/2024,,01/14 UBER   EATS,8.76,0
01/16/2024,,01/14 TJMAXX #0266,12.99,0
01/16/2024,,01/15 TXTAG 888 468 9,15.82,0
01/16/2024,,01/15 H-E-B  #218,57.66,0
01/16/2024,,01/14 TRADER JOE S #4,62.21,0
01/16/2024,,VENMO            CASHOUT    024016007203325,0,25.00
01/12/2024,,01/12 UBER   *EATS,4.96,0
01/12/2024,,01/12 UBER   *EATS,0,4.96
01/09/2024,,City of Austin T,79.40,0
01/09/2024,,01/09 ACTIV N FIT,30.31,0
01/08/2024,,DISCOVER,1000.00,0
01/08/2024,,01/06 H-E-B  #218,20.89,0
01/05/2024,,ASF DBA Insperi PAYROLL    024003009905983,0,2025.72
01/04/2024,,01/03 RMA TOLL,8.69,0
01/04/2024,,01/02 STARBUCKS STORE,10.39,0
01/04/2024,,01/03 H-E-B  #218,17.08,0
01/04/2024,,01/02 UBER   EATS,22.62,0
01/04/2024,,01/02 RPS*SULLIVAN RD,1649.03,0
01/03/2024,,01/02 APPLE.COM/BILL,6.48,0
01/02/2024,,12/31 TACO CABANA 201,6.70,0
01/02/2024,,01/01 SONIC DRIVE IN,10.79,0
01/02/2024,,12/31 H-E-B  #218,16.26,0
01/02/2024,,12/30 DOMINO'S 6613,20.53,0
01/02/2024,,12/31 H-E-B  #218,31.43,0
01/02/2024,,01/01 SALVATION ARMY,34.00,0
01/02/2024,,MOBILE XFR CR,0,1600.00
12/30/2023,,12/29 UBER   *EATS,41.74,0
12/29/2023,,12/28 UBER   *EATS,15.63,0
12/27/2023,,12/26 APPLE.COM/BILL,0.99,0
12/26/2023,,VENMO,25.00,0
12/26/2023,,VENMO,30.00,0
12/26/2023,,DISCOVER,100.00,0
12/26/2023,,12/23 SONIC DRIVE IN#,11.89,0
12/26/2023,,12/23 UBER   *EATS,22.47,0
12/22/2023,,MOBILE XFR DB,1600.00,0
12/22/2023,,12/21 UBER   *EATS,30.27,0
12/22/2023,,12/21 TEXASGASSERVICE,38.51,0
12/22/2023,,12/21 UBER   *EATS,0,7.60
12/22/2023,,ASF DBA Insperi PAYROLL    023354010307372,0,2019.99
12/21/2023,,12/20 DOMINO'S 6613,33.61,0
12/20/2023,,12/19 H-E-B  #218,12.13,0
12/20/2023,,12/19 GWCTX 1241,42.71,0
12/20/2023,,12/19 Amazon.com*GX1P,61.04,0
12/19/2023,,12/18 LEMONADE I* LEM,18.09,0
12/19/2023,,12/18 UBER   *EATS,20.66,0
12/18/2023,,VENMO,100.00,0
12/18/2023,,MOBILE PAYMENT,433.60,0
12/18/2023,,MOBILE XFR DB,500.00,0
12/18/2023,,12/17 APPLE.COM/BILL,6.48,0
12/18/2023,,12/17 UBER   *EATS,18.85,0
12/18/2023,,12/17 NETFLIX COM,24.89,0
12/18/2023,,12/16 TARGET        0,41.14,0
12/18/2023,,12/17 H-E-B  #218,95.10,0
12/18/2023,,ASF DBA Insperi PAYROLL    023348011465315,0,703.50
12/16/2023,,12/14 Amazon.com*9Z29,14.61,0
12/15/2023,,12/14 UBER   *EATS,42.33,0
12/14/2023,,MOBILE XFR DB,500.00,0
